nameWithOwner;error
iluwatar_java-design-patterns;No columns to parse from file
ReactiveX_RxJava;No columns to parse from file
NationalSecurityAgency_ghidra;No columns to parse from file
apache_dubbo;No columns to parse from file
PhilJay_MPAndroidChart;No columns to parse from file
halo-dev_halo;No columns to parse from file
xuxueli_xxl-job;No columns to parse from file
signalapp_Signal-Android;No columns to parse from file
DrKLO_Telegram;No columns to parse from file
bazelbuild_bazel;No columns to parse from file
ReactiveX_RxAndroid;No columns to parse from file
scwang90_SmartRefreshLayout;No columns to parse from file
DrKLO_Telegram;No columns to parse from file
apache_flink;No columns to parse from file
libgdx_libgdx;No columns to parse from file
google_ExoPlayer;No columns to parse from file
Anuken_Mindustry;No columns to parse from file
OpenAPITools_openapi-generator;No columns to parse from file
keycloak_keycloak;No columns to parse from file
apache_shardingsphere;No columns to parse from file
mybatis_mybatis-3;No columns to parse from file
iBotPeaches_Apktool;No columns to parse from file
openjdk_jdk;No columns to parse from file
LMAX-Exchange_disruptor;No columns to parse from file
openzipkin_zipkin;No columns to parse from file
shuzheng_zheng;No columns to parse from file
Tencent_APIJSON;No columns to parse from file
williamfiset_Algorithms;No columns to parse from file
Konloch_bytecode-viewer;No columns to parse from file
apache_hadoop;No columns to parse from file
eclipse-vertx_vert.x;No columns to parse from file
macrozheng_mall-learning;No columns to parse from file
projectlombok_lombok;No columns to parse from file
theonedev_onedev;No columns to parse from file
zaproxy_zaproxy;No columns to parse from file
apache_zookeeper;No columns to parse from file
itwanger_toBeBetterJavaer;No columns to parse from file
languagetool-org_languagetool;No columns to parse from file
realm_realm-java;No columns to parse from file
Tencent_matrix;No columns to parse from file
macrozheng_mall-swarm;No columns to parse from file
gyf-dev_ImmersionBar;No columns to parse from file
apache_doris;No columns to parse from file
daniulive_SmarterStreaming;No columns to parse from file
newbee-ltd_newbee-mall;No columns to parse from file
trinodb_trino;No columns to parse from file
firebase_quickstart-android;No columns to parse from file
apache_shenyu;No columns to parse from file
checkstyle_checkstyle;No columns to parse from file
hs-web_hsweb-framework;No columns to parse from file
java-native-access_jna;No columns to parse from file
LawnchairLauncher_lawnchair;No columns to parse from file
checkstyle_checkstyle;No columns to parse from file
flyway_flyway;No columns to parse from file
facebook_litho;No columns to parse from file
StarRocks_starrocks;No columns to parse from file
yuanguangxin_LeetCode;'utf-8' codec can't decode byte 0xe9 in position 747: invalid continuation byte
confluentinc_ksql;No columns to parse from file
apache_incubator-kie-drools;'utf-8' codec can't decode byte 0xc4 in position 80672: invalid continuation byte
hanks-zyh_HTextView;No columns to parse from file
PojavLauncherTeam_PojavLauncher;No columns to parse from file
motianhuo_wechat;No columns to parse from file
saiwu-bigkoo_Android-ConvenientBanner;No columns to parse from file
gabrielemariotti_cardslib;No columns to parse from file
romandanylyk_PageIndicatorView;No columns to parse from file
201206030_novel;No columns to parse from file
go-lang-plugin-org_go-lang-idea-plugin;No columns to parse from file
react-native-webrtc_react-native-webrtc;No columns to parse from file
traccar_traccar;No columns to parse from file
xuexiangjys_XUI;No columns to parse from file
graphhopper_graphhopper;No columns to parse from file
201206030_novel;No columns to parse from file
apache_incubator-kie-drools;'utf-8' codec can't decode byte 0xc4 in position 80672: invalid continuation byte
gephi_gephi;No columns to parse from file
Col-E_Recaf;No columns to parse from file
TommyLemon_Android-ZBLibrary;No columns to parse from file
apache_hbase;No columns to parse from file
apache_pinot;No columns to parse from file
apache_groovy;No columns to parse from file
meefik_linuxdeploy;No columns to parse from file
youlookwhat_CloudReader;No columns to parse from file
2227324689_gpmall;No columns to parse from file
dongjunkun_DropDownMenu;No columns to parse from file
geoserver_geoserver;No columns to parse from file
WVector_AppUpdate;No columns to parse from file
andremion_Music-Player;No columns to parse from file
spring-cloud_spring-cloud-kubernetes;No columns to parse from file
GeyserMC_Geyser;No columns to parse from file
awangdev_leet-code;'utf-8' codec can't decode byte 0xe9 in position 6915: invalid continuation byte
apache_calcite;No columns to parse from file
gz-yami_mall4j;No columns to parse from file
jeasonlzy_ImagePicker;No columns to parse from file
apache_shiro;No columns to parse from file
bjmashibing_InternetArchitect;'utf-8' codec can't decode byte 0xa0 in position 2411: invalid start byte
dragonwell-project_dragonwell8;No columns to parse from file
chengxy-nds_Springboot-Notebook;'utf-8' codec can't decode byte 0xe6 in position 15043: invalid continuation byte
north2016_T-MVP;No columns to parse from file
FongMi_TV;No columns to parse from file
yigit_android-priority-jobqueue;No columns to parse from file
zhkl0228_unidbg;No columns to parse from file
JabRef_jabref;No columns to parse from file
alibaba_fastjson2;'utf-8' codec can't decode bytes in position 231993-231994: invalid continuation byte
spotbugs_spotbugs;No columns to parse from file
JabRef_jabref;No columns to parse from file
alibaba_fastjson2;'utf-8' codec can't decode bytes in position 231993-231994: invalid continuation byte
lukas-krecan_ShedLock;No columns to parse from file
apache_incubator-hugegraph;No columns to parse from file
bytedeco_javacpp-presets;No columns to parse from file
